@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1111111'}

@DATA
108,108,15947,10338,6481,16819,1111111
108,111,19220,9519,8883,18402,1111111
111,111,19196,19114,9677,28791,1111111
108,108,15207,9598,8013,17611,1111111
108,111,19998,9588,10401,19989,1111111
111,32,16787,12809,7199,20009,1111111
32,116,39273,8734,26464,35197,1111111
116,104,20748,10382,12015,22397,1111111
104,105,27206,9563,16824,26387,1111111
115,32,11192,5344,17630,22974,1111111
115,32,11192,9574,17630,4231,1111111
32,105,16813,11188,7239,18427,1111111
105,115,16769,12809,5581,18390,1111111
115,32,15193,11214,2384,13598,1111111
97,32,15166,4788,19970,24757,1111111
97,32,15166,13582,19970,8794,1111111
32,116,39199,8791,25617,34408,1111111
116,101,10397,9597,1606,11204,1111111
101,115,21613,11983,12016,23999,1111111
108,108,15207,9598,8013,17611,1111111
108,111,19998,9588,10401,19989,1111111
111,32,16787,12809,7199,20009,1111111
32,116,39273,8734,26464,35197,1111111
116,104,20748,10382,12015,22397,1111111
104,105,27206,9563,16824,26387,1111111
115,32,11192,5344,17630,22974,1111111
115,32,11192,9574,17630,4231,1111111
32,105,16813,11188,7239,18427,1111111
105,115,16769,12809,5581,18390,1111111
115,32,15193,11214,2384,13598,1111111
97,32,15166,4788,19970,24757,1111111
97,32,15166,13582,19970,8794,1111111
32,116,39199,8791,25617,34408,1111111
116,101,10397,9597,1606,11204,1111111
101,115,21613,11983,12016,23999,1111111
115,116,17610,9607,5627,15234,1111111
116,32,13591,12786,3984,16770,1111111
111,102,17583,11974,10422,22396,1111111
102,32,16773,10405,4799,15204,1111111
32,104,24001,7200,13596,20796,1111111
104,111,35207,7990,28007,35997,1111111
111,119,14396,11203,6406,17609,1111111
119,32,13603,9593,2400,11992,1111111
115,32,8001,5593,17610,23203,1111111
115,32,8001,11986,17610,6393,1111111
32,105,24799,8798,12813,21611,1111111
105,115,13597,11989,4799,16787,1111111
115,32,16000,12799,4012,16811,1111111
97,32,15210,4804,20006,24810,1111111
115,32,8001,5593,17610,23203,1111111
115,32,8001,11986,17610,6393,1111111
32,105,24799,8798,12813,21611,1111111
105,115,13597,11989,4799,16787,1111111
115,32,16000,12799,4012,16811,1111111
97,32,15210,4804,20006,24810,1111111
97,32,15210,11960,20006,7156,1111111
32,116,58361,8007,46401,54408,1111111
116,101,11999,11990,3992,15982,1111111
101,115,23999,10416,12009,22425,1111111
115,116,14412,9590,3996,13587,1111111
116,32,15190,11994,5600,17594,1111111
32,111,27996,15197,16002,31199,1111111
111,102,16803,12789,1606,14395,1111111
102,32,15211,14384,2422,16806,1111111
32,104,55987,7990,41603,49593,1111111
115,32,8001,5593,17610,23203,1111111
115,32,8001,11986,17610,6393,1111111
32,105,24799,8798,12813,21611,1111111
105,115,13597,11989,4799,16787,1111111
115,32,16000,12799,4012,16811,1111111
97,32,15210,4804,20006,24810,1111111
97,32,15210,11960,20006,7156,1111111
32,116,58361,8007,46401,54408,1111111
116,101,11999,11990,3992,15982,1111111
101,115,23999,10416,12009,22425,1111111
115,116,14412,9590,3996,13587,1111111
116,32,15190,11994,5600,17594,1111111
32,111,27996,15197,16002,31199,1111111
111,102,16803,12789,1606,14395,1111111
102,32,15211,14384,2422,16806,1111111
32,104,55987,7990,41603,49593,1111111
104,111,36807,7988,28817,36805,1111111
111,119,15189,11204,7201,18405,1111111
119,32,16826,12820,5622,18441,1111111
116,32,19165,13613,8774,22387,1111111
32,105,30415,9590,16802,26392,1111111
105,115,19157,13634,9567,23201,1111111
115,32,16027,12000,2393,14393,1111111
115,32,8001,5593,17610,23203,1111111
115,32,8001,11986,17610,6393,1111111
32,105,24799,8798,12813,21611,1111111
105,115,13597,11989,4799,16787,1111111
115,32,16000,12799,4012,16811,1111111
97,32,15210,4804,20006,24810,1111111
97,32,15210,11960,20006,7156,1111111
32,116,58361,8007,46401,54408,1111111
116,101,11999,11990,3992,15982,1111111
101,115,23999,10416,12009,22425,1111111
115,116,14412,9590,3996,13587,1111111
116,32,15190,11994,5600,17594,1111111
32,111,27996,15197,16002,31199,1111111
111,102,16803,12789,1606,14395,1111111
102,32,15211,14384,2422,16806,1111111
32,104,55987,7990,41603,49593,1111111
104,111,36807,7988,28817,36805,1111111
111,119,15189,11204,7201,18405,1111111
119,32,16826,12820,5622,18441,1111111
116,32,19165,13613,8774,22387,1111111
32,105,30415,9590,16802,26392,1111111
105,115,19157,13634,9567,23201,1111111
115,32,16027,12000,2393,14393,1111111
32,103,35213,13603,23213,36816,1111111
103,111,23155,7996,9552,17548,1111111
111,105,21615,7988,13619,21607,1111111
105,103,24027,15201,16039,31241,1111111
103,110,17592,17618,2391,20008,1111111
110,116,25600,12813,7983,20796,1111111
116,116,40010,7988,28814,36802,1111111
115,32,8001,5593,17610,23203,1111111
115,32,8001,11986,17610,6393,1111111
32,105,24799,8798,12813,21611,1111111
105,115,13597,11989,4799,16787,1111111
115,32,16000,12799,4012,16811,1111111
97,32,15210,4804,20006,24810,1111111
97,32,15210,11960,20006,7156,1111111
32,116,58361,8007,46401,54408,1111111
116,101,11999,11990,3992,15982,1111111
101,115,23999,10416,12009,22425,1111111
115,116,14412,9590,3996,13587,1111111
116,32,15190,11994,5600,17594,1111111
32,111,27996,15197,16002,31199,1111111
111,102,16803,12789,1606,14395,1111111
102,32,15211,14384,2422,16806,1111111
32,104,55987,7990,41603,49593,1111111
104,111,36807,7988,28817,36805,1111111
111,119,15189,11204,7201,18405,1111111
119,32,16826,12820,5622,18441,1111111
116,32,19165,13613,8774,22387,1111111
32,105,30415,9590,16802,26392,1111111
105,115,19157,13634,9567,23201,1111111
115,32,16027,12000,2393,14393,1111111
32,103,35213,13603,23213,36816,1111111
103,111,23155,7996,9552,17548,1111111
111,105,21615,7988,13619,21607,1111111
105,103,24027,15201,16039,31241,1111111
103,110,17592,17618,2391,20008,1111111
