@RELATION keys
@ATTRIBUTE letter1  STRING
@ATTRIBUTE letter2  STRING
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140196'}

@DATA
shift,space,29530,15190,16830,32020,1140196
space,t,28860,10320,13670,23990,1140196
t,h,17590,10340,7270,17610,1140196
h,i,24810,8730,14470,23200,1140196
i,n,23200,11100,14470,25570,1140196
n,k,24010,10320,12910,23230,1140196
k,space,17590,12710,7270,19980,1140196
space,i,26400,9530,13690,23220,1140196
i,s,21610,9520,12080,21600,1140196
s,space,15130,8760,5610,14370,1140196
backspace,t,155150,11970,147220,159190,1140196
t,space,32860,13520,20890,34410,1140196
space,i,39230,8690,25710,34400,1140196
s,space,10350,2370,16010,18380,1140196
space,v,24060,7930,13680,21610,1140196
v,e,9630,11900,1700,13600,1140196
e,r,23970,7130,12070,19200,1140196
r,y,23190,8700,16060,24760,1140196
y,space,15160,12770,6460,19230,1140196
space,i,32860,7910,20090,28000,1140196
i,m,23990,9530,16080,25610,1140196
m,p,27200,7120,17670,24790,1140196
p,o,17540,9590,10420,20010,1140196
o,r,16060,11130,6470,17600,1140196
r,t,20000,7930,8870,16800,1140196
t,a,16000,11920,8070,19990,1140196
a,n,13590,8730,1670,10400,1140196
n,t,25600,7090,16870,23960,1140196
t,space,13550,11190,6460,17650,1140196
space,t,45670,10310,34480,44790,1140196
t,o,17590,8730,7280,16010,1140196
o,space,13630,12660,4900,17560,1140196
space,k,52770,7920,40110,48030,1140196
k,n,23980,8740,16060,24800,1140196
n,o,27160,9540,18420,27960,1140196
o,w,20810,12760,11270,24030,1140196
w,space,14390,9570,1630,11200,1140196
space,y,32050,11130,22480,33610,1140196
y,o,18400,7930,7270,15200,1140196
o,u,14400,10300,6470,16770,1140196
u,r,34410,11920,24110,36030,1140196
r,space,19210,11920,7290,19210,1140196
space,a,114390,11130,102470,113600,1140196
a,b,16790,10330,5660,15990,1140196
b,i,20790,11920,10460,22380,1140196
i,l,51160,8780,39240,48020,1140196
l,i,24160,7820,15380,23200,1140196
i,t,21500,8680,13680,22360,1140196
t,i,15950,8770,7270,16040,1140196
i,e,24040,10320,15270,25590,1140196
e,s,23970,11150,13650,24800,1140196
s,s,18430,9530,7280,16810,1140196
s,space,18470,11810,8940,20750,1140196
shift,shift,36010,6280,49750,56030,1140196
shift,space,15170,15130,4060,19190,1140196
space,c,37540,12790,22410,35200,1140196
c,h,23290,8700,10500,19200,1140196
h,o,28780,8690,20080,28770,1140196
o,s,16800,13510,8110,21620,1140196
s,e,30360,7960,16850,24810,1140196
e,space,16030,11920,8070,19990,1140196
space,t,27200,8720,15280,24000,1140196
t,h,19220,10280,10500,20780,1140196
h,i,24780,8690,14500,23190,1140196
i,s,15160,11160,6470,17630,1140196
s,space,15240,9530,4080,13610,1140196
c,a,14390,1540,20060,21600,1140196
a,r,32760,11130,14430,25560,1140196
r,e,24850,8720,13720,22440,1140196
e,e,16000,11120,7280,18400,1140196
e,r,20800,11130,9680,20810,1140196
r,space,21600,7930,10470,18400,1140196
space,b,23930,9570,16000,25570,1140196
b,a,25680,15100,16110,31210,1140196
backspace,e,12010,10270,4890,15160,1140196
c,a,14420,1540,32140,33680,1140196
a,u,37590,7110,16890,24000,1140196
u,s,11980,11120,4870,15990,1140196
s,e,23960,9580,12840,22420,1140196
e,space,13650,11920,4070,15990,1140196
space,i,26400,8720,14480,23200,1140196
i,t,38130,9050,29410,38460,1140196
t,space,17850,11130,8800,19930,1140196
space,h,42440,8710,31310,40020,1140196
