@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140197', 'outlier'}

@DATA
101,108,17367,7047,6793,13841,1140197
108,108,17055,8015,10008,18023,1140197
108,111,23190,5893,15175,21068,1140197
111,44,26398,10191,20505,30696,outlier
44,32,19427,8739,9236,17975,1140197
32,32,26877,10447,18138,28585,outlier
32,73,30919,5912,45348,51260,outlier
32,73,30919,12309,45348,6397,outlier
73,32,23050,14334,10741,25075,1140197
32,99,50188,10669,35854,46522,outlier
104,111,26180,6527,20803,27330,outlier
111,115,15256,10986,8729,19715,1140197
115,101,23869,9972,12884,22856,1140197
101,32,14659,8130,4687,12817,1140197
32,116,24334,5999,16204,22203,1140197
116,104,18913,8357,12914,21271,1140197
104,105,26238,6983,17881,24864,outlier
105,115,20608,13564,13625,27188,1140197
115,32,24379,10599,10815,21414,1140197
99,97,14542,1796,24959,26755,outlier
99,97,14542,19215,24959,17419,outlier
97,114,36464,9123,17249,26372,outlier
114,114,18286,7300,9163,16463,1140197
114,101,20849,11159,13549,24708,1140197
101,101,40308,10680,29150,39830,outlier
101,114,23855,9036,13175,22211,1140197
114,32,22805,10490,13769,24259,1140197
32,98,54825,6163,44335,50498,outlier
98,101,13229,11029,7066,18094,1140197
101,97,28143,22310,17115,39425,outlier
97,99,20653,10261,10457,20718,1140197
99,97,31269,17091,21008,38099,outlier
117,115,10124,12842,5394,18235,1140197
115,101,26690,11072,13848,24920,1140197
101,32,17477,6271,6405,12676,1140197
32,105,19029,5812,12758,18570,1140197
105,102,21629,8776,15817,24593,1140197
102,102,39647,9718,30871,40589,outlier
102,116,19045,9288,9327,18616,1140197
116,32,16812,11081,7524,18605,1140197
32,105,54891,5631,43810,49441,outlier
115,32,9423,2800,17414,20213,outlier
115,32,9423,7960,17414,5161,outlier
32,111,15320,6546,7359,13905,1140197
111,110,26866,8516,20320,28836,outlier
101,32,9368,184,15957,16141,1140197
101,32,9368,9195,15957,9011,1140197
32,111,22621,5819,13426,19244,1140197
111,102,39157,8880,33339,42219,outlier
102,32,14647,9399,5767,15166,1140197
32,109,18532,11630,9133,20763,1140197
109,121,33491,7479,21861,29340,outlier
121,32,14647,10173,7168,17341,1140197
32,102,30139,7166,19966,27132,outlier
102,97,18951,15117,11785,26902,1140197
97,118,59665,8629,44548,53177,outlier
118,111,19674,7169,11044,18214,1140197
111,117,48721,8180,41552,49731,outlier
117,114,23560,11532,15380,26912,1140197
114,105,27780,6559,16248,22807,1140197
105,116,30839,6640,24281,30921,outlier
101,32,9908,427,19200,19627,outlier
101,32,9908,9733,19200,9306,outlier
32,116,25024,5356,15291,20646,1140197
116,101,11811,8190,6455,14645,1140197
115,116,8558,954,26417,27370,outlier
115,116,8558,5853,26417,4899,outlier
116,32,18278,11651,12425,24076,1140197
32,116,23777,3716,12126,15843,1140197
116,104,18264,8108,14548,22656,1140197
97,116,9040,5550,17691,23241,outlier
97,116,9040,7049,17691,1499,outlier
116,32,12795,9706,5745,15452,1140197
32,105,25721,7117,16014,23131,1140197
105,32,15472,10841,8355,19197,1140197
97,109,9865,7439,18941,26380,outlier
97,109,9865,7556,18941,117,outlier
109,32,15163,8617,7607,16224,1140197
32,100,28505,12084,19888,31972,outlier
100,111,17935,7522,5851,13373,1140197
111,105,22363,5940,14841,20781,1140197
105,110,22156,10296,16216,26513,1140197
103,32,5793,5395,9140,14534,1140197
103,32,5793,8613,9140,3218,1140197
32,116,25550,6368,16937,23305,1140197
116,104,17611,8602,11242,19845,1140197
104,101,11647,10394,3044,13438,1140197
101,115,41616,15871,31222,47093,outlier
115,101,30129,10398,14258,24655,1140197
101,32,20268,10394,9870,20264,1140197
100,97,16177,2093,23578,25671,outlier
100,97,16177,22019,23578,19926,outlier
