@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140197', 'outlier'}

@DATA
115,32,24379,10599,10815,21414,1140197
115,32,24379,10599,10815,21414,1140197
115,32,9423,2800,17414,20213,1140197
115,32,9423,7960,17414,5161,1140197
115,32,12706,1561,22450,24010,1140197
115,32,12706,10143,22450,8582,1140197
115,32,3894,9186,10825,20011,1140197
115,32,3894,10562,10825,1377,1140197
115,32,11328,1357,14386,15744,1140197
115,32,11328,9381,14386,8024,1140197
115,32,10900,561,19005,19566,1140197
115,32,10900,7113,19005,6552,1140197
115,32,10831,1276,19557,20832,1140197
115,32,10831,12089,19557,10814,1140197
115,32,13872,2021,4418,6439,1140197
115,32,13872,11412,4418,9392,1140197
115,32,24379,10599,10815,21414,1140197
115,32,9423,2800,17414,20213,1140197
115,32,9423,7960,17414,5161,1140197
115,32,12706,1561,22450,24010,1140197
115,32,12706,10143,22450,8582,1140197
115,32,3894,9186,10825,20011,1140197
115,32,3894,10562,10825,1377,1140197
115,32,11328,1357,14386,15744,1140197
115,32,11328,9381,14386,8024,1140197
115,32,10900,561,19005,19566,1140197
115,32,10900,7113,19005,6552,1140197
115,32,10831,1276,19557,20832,1140197
115,32,10831,12089,19557,10814,1140197
115,32,13872,2021,4418,6439,1140197
115,32,13872,11412,4418,9392,1140197
32,105,19029,5812,12758,18570,1140197
32,105,19029,5812,12758,18570,1140197
32,105,54891,5631,43810,49441,outlier
32,105,25721,7117,16014,23131,1140197
32,105,19142,7664,8580,16244,1140197
32,105,22260,6796,11816,18612,1140197
32,105,30802,6478,19497,25974,1140197
32,105,51322,7507,43048,50554,outlier
32,105,38070,7228,27729,34957,1140197
32,105,21207,6888,12164,19052,1140197
105,115,20608,13564,13625,27188,1140197
105,115,20608,13564,13625,27188,1140197
115,32,24379,10599,10815,21414,1140197
115,32,9423,2800,17414,20213,1140197
115,32,9423,7960,17414,5161,1140197
115,32,12706,1561,22450,24010,1140197
115,32,12706,10143,22450,8582,1140197
115,32,3894,9186,10825,20011,1140197
115,32,3894,10562,10825,1377,1140197
115,32,11328,1357,14386,15744,1140197
115,32,11328,9381,14386,8024,1140197
115,32,10900,561,19005,19566,1140197
115,32,10900,7113,19005,6552,1140197
115,32,10831,1276,19557,20832,1140197
115,32,10831,12089,19557,10814,1140197
115,32,13872,2021,4418,6439,1140197
115,32,13872,11412,4418,9392,1140197
97,32,9645,6061,15290,21351,1140197
97,32,9645,6061,15290,21351,1140197
97,32,9645,8413,15290,2352,1140197
97,32,10183,9274,17200,26474,1140197
97,32,10183,9415,17200,142,1140197
97,32,49556,9510,32304,41814,outlier
97,32,9645,6061,15290,21351,1140197
97,32,9645,8413,15290,2352,1140197
97,32,10183,9274,17200,26474,1140197
97,32,10183,9415,17200,142,1140197
97,32,49556,9510,32304,41814,outlier
32,116,24334,5999,16204,22203,1140197
32,116,24334,5999,16204,22203,1140197
32,116,25024,5356,15291,20646,1140197
32,116,23777,3716,12126,15843,1140197
32,116,25550,6368,16937,23305,1140197
32,116,33782,5530,25369,30899,1140197
32,116,18309,3957,10026,13983,1140197
32,116,27200,6632,18715,25347,1140197
32,116,24731,5403,14672,20075,1140197
32,116,29509,12230,19847,32077,1140197
32,116,25335,5970,16861,22831,1140197
32,116,26536,5553,19239,24792,1140197
32,116,17357,6934,7812,14746,1140197
116,101,11811,8190,6455,14645,1140197
116,101,11811,8190,6455,14645,1140197
116,101,15018,8613,9488,18101,1140197
116,101,8172,8997,2245,11242,1140197
116,101,12289,7851,6736,14586,1140197
101,115,41616,15871,31222,47093,outlier
101,115,41616,15871,31222,47093,outlier
101,115,21165,12285,12552,24837,1140197
101,115,22821,7060,14970,22030,1140197
115,116,8558,954,26417,27370,1140197
115,116,8558,954,26417,27370,1140197
115,116,8558,5853,26417,4899,1140197
115,116,16552,5393,4266,9659,1140197
115,116,15153,882,11250,12133,1140197
115,116,15153,9062,11250,8180,1140197
115,116,20565,5665,5965,11631,1140197
115,116,13699,5537,472,6009,1140197
115,116,8219,5823,1159,6982,1140197
116,32,16812,11081,7524,18605,1140197
116,32,18278,11651,12425,24076,1140197
116,32,12795,9706,5745,15452,1140197
116,32,14469,8283,9077,17360,1140197
116,32,19929,8956,12110,21066,1140197
116,32,17996,12888,7135,20023,1140197
116,32,16980,7102,9184,16286,1140197
116,32,16082,8275,7020,15295,1140197
116,32,16567,8404,9394,17799,1140197
116,32,15413,9847,8753,18600,1140197
116,32,29807,16979,23985,40964,outlier
116,32,15079,8017,9135,17152,1140197
116,32,15839,9545,9539,19084,1140197
32,116,24334,5999,16204,22203,1140197
32,116,25024,5356,15291,20646,1140197
32,116,23777,3716,12126,15843,1140197
32,116,25550,6368,16937,23305,1140197
32,116,33782,5530,25369,30899,1140197
32,116,18309,3957,10026,13983,1140197
32,116,27200,6632,18715,25347,1140197
32,116,24731,5403,14672,20075,1140197
32,116,29509,12230,19847,32077,1140197
32,116,25335,5970,16861,22831,1140197
32,116,26536,5553,19239,24792,1140197
32,116,17357,6934,7812,14746,1140197
111,32,16432,8720,10307,19027,1140197
111,32,16432,8720,10307,19027,1140197
111,32,10705,10137,4908,15045,1140197
