@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1170765', 'outlier'}

@DATA
114,32,18599,8401,8220,16620,25021,1170765
32,113,21509,12942,13108,26050,38992,1170765
113,117,20330,8606,7388,15994,24600,1170765
117,101,18420,11215,9814,21029,32244,1170765
32,101,8313,471,13081,13552,14023,outlier
32,101,8313,9684,13081,9213,18897,1170765
32,97,29900,14800,22300,37100,51900,outlier
97,32,22200,7500,7400,14900,22400,1170765
32,108,16300,7100,8800,15900,23000,1170765
108,97,16200,15600,9100,24700,40300,outlier
97,32,25800,8700,10200,18900,27600,1170765
32,108,42500,5500,33800,39300,44800,outlier
108,101,20300,12400,14800,27200,39600,1170765
101,121,33400,6300,21000,27300,33600,1170765
121,101,12400,10400,6100,16500,26900,1170765
101,115,27600,9800,17200,27000,36800,1170765
116,100,8601,11150,1860,13010,24160,1170765
100,97,11684,13902,534,14436,28338,outlier
97,110,27216,9176,13313,22489,31665,1170765
100,111,8343,229,12929,13158,13387,outlier
100,111,8343,6323,12929,6094,12417,1170765
111,32,16026,4347,9702,14050,18397,1170765
32,110,12704,9545,8356,17901,27446,1170765
110,110,47094,8696,37549,46245,54941,outlier
109,105,13598,1006,25809,26815,27821,outlier
109,105,13598,5536,25809,4530,10066,1170765
101,115,20138,11987,10454,22441,34428,1170765
115,32,13007,9099,1020,10118,19217,1170765
32,117,24955,9326,15856,25182,34508,1170765
117,110,21162,9720,11837,21556,31276,1170765
110,97,20973,10722,11254,21975,32697,1170765
97,32,12700,8280,1978,10258,18538,1170765
32,99,43720,8506,35440,43947,52453,outlier
99,97,16958,8574,8451,17026,25600,1170765
97,114,20583,7555,12009,19564,27119,1170765
114,114,18111,7725,10556,18280,26005,1170765
105,32,13166,6338,7629,13968,20306,1170765
101,106,7558,1899,11852,13751,15650,1170765
101,106,7558,5257,11852,3358,8615,1170765
101,109,8771,1220,13054,14274,15494,outlier
101,109,8771,7118,13054,5898,13016,1170765
109,112,16432,5504,9314,14818,20322,1170765
112,108,14081,5560,8577,14136,19696,1170765
108,111,12616,5545,7056,12602,18147,1170765
111,241,18518,2732,12973,15705,18437,1170765
241,241,41887,6654,39154,45808,52462,outlier
115,32,17100,9200,7300,16500,25700,1170765
32,100,47400,8300,38200,46500,54800,outlier
100,101,21300,10000,13000,23000,33000,1170765
101,32,14800,7600,4800,12400,20000,1170765
32,109,20700,9100,13100,22200,31300,1170765
109,105,15600,9200,6500,15700,24900,1170765
105,32,27300,8400,18100,26500,34900,1170765
32,112,32600,8300,24200,32500,40800,1170765
112,97,17900,13500,9600,23100,36600,1170765
114,101,19958,8719,12234,20952,29671,1170765
101,114,44318,8751,35600,44350,53101,outlier
114,97,17225,7596,8474,16070,23666,1170765
97,32,15534,10292,7938,18230,28522,1170765
32,113,17373,10368,7081,17449,27817,1170765
113,117,24000,6363,13632,19995,26358,1170765
117,101,12718,8571,6355,14927,23498,1170765
101,32,12978,9254,4407,13661,22915,1170765
32,116,18008,9671,8754,18425,28096,1170765
116,105,20772,8456,11101,19557,28013,1170765
105,101,18802,11195,10346,21540,32735,1170765
101,110,14573,8731,3378,12109,20840,1170765
101,32,5489,5640,12321,17961,23601,1170765
101,32,5489,10152,12321,4511,14663,1170765
32,109,26632,11780,16480,28260,40040,1170765
109,117,26346,7086,14566,21652,28738,1170765
117,118,32110,8172,25024,33196,41368,1170765
118,99,21327,8418,14357,22775,31193,1170765
99,106,24276,6658,15858,22515,29173,1170765
97,97,22300,15600,4400,20000,35600,outlier
109,101,12100,10700,5800,16500,27200,1170765
101,32,18700,8300,8000,16300,24600,1170765
32,97,24900,13200,16600,29800,43000,1170765
97,121,22600,5900,9400,15300,21200,1170765
121,117,15500,7900,9600,17500,25400,1170765
100,97,8700,200,39700,39900,40100,outlier
241,46,20810,5532,14156,19688,25220,1170765
78,78,40074,6374,25766,32140,38514,outlier
78,78,12990,7918,6615,14533,22451,1170765
78,78,23771,10655,15854,26508,37163,1170765
66,117,16401,9120,8499,17619,26739,1170765
117,110,19391,13880,10271,24150,38030,outlier
110,110,29417,5508,15538,21046,26554,1170765
110,110,13670,4320,8162,12482,16802,1170765
110,110,11680,5574,7360,12934,18508,1170765
110,89,16802,9974,46730,56705,66679,outlier
110,89,16802,13188,46730,3213,16401,outlier
89,111,24839,9910,11652,21562,31472,1170765
111,111,33705,5141,23795,28936,34077,1170765
111,111,11793,9138,6651,15790,24928,1170765
111,77,1438,7226,15360,22586,29812,1170765
111,77,1438,7248,15360,22,7270,1170765
104,97,51410,6646,37807,44453,51099,outlier
97,32,14156,7665,7510,15175,22840,1170765
32,97,16529,8230,8864,17094,25324,1170765
97,109,25963,9751,17733,27484,37235,1170765
109,112,29779,8265,20028,28294,36559,1170765
112,108,21346,8587,13081,21668,30255,1170765
108,105,24319,9547,15732,25279,34826,1170765
105,116,32360,8456,22813,31269,39725,1170765
77,105,14379,5142,7131,12273,17415,1170765
105,32,14734,7106,9592,16698,23804,1170765
98,111,7971,1540,13558,15098,16638,outlier
98,111,7971,12081,13558,10541,22622,1170765
111,110,14831,11159,2750,13909,25068,1170765
110,98,20314,7475,9155,16631,24106,1170765
98,98,20362,5864,12887,18751,24615,1170765
98,98,12318,6348,6454,12802,19150,1170765
98,98,13404,3081,7055,10136,13217,1170765
98,98,8732,8010,5651,13661,21671,1170765
98,110,22995,10350,14985,25336,35686,1170765
111,109,11590,1153,17522,18675,19828,outlier
111,109,11590,11163,17522,10010,21173,1170765
109,98,20520,8252,9357,17609,25861,1170765
98,114,8371,7893,119,8012,15905,1170765
101,32,8771,647,16381,17028,17675,outlier
101,32,8771,7497,16381,6849,14346,1170765
