Column1,Column2,Column3,Column4,Column5,Column6
69,101,52248,8463,45822,54286
101,108,53955,6039,41900,47939
108,101,14002,10566,7963,18529
101,103,23365,6054,12798,18852
103,105,22459,6837,16405,23242
105,32,26691,8438,19854,28292
32,101,12979,8160,4542,12702
101,115,23067,12484,14907,27392
115,116,16313,5571,3829,9400
116,117,29300,6650,23729,30379
117,100,24679,10270,18029,28299
100,105,15710,6844,5441,12284
105,97,16604,13699,9761,23460
97,114,20342,7963,6643,14605
114,32,28614,6951,20651,27603
105,110,28588,8350,21864,30215
103,101,14002,11990,7560,19550
110,105,25771,5431,21751,27182
105,101,10591,8649,5160,13808
101,114,20235,9252,11586,20838
114,105,15704,5633,6452,12085
105,97,21076,14370,15443,29813
97,32,21420,6141,7050,13191
32,105,34770,4508,28629,33137
105,110,20744,7245,16236,23481
110,100,13198,9539,5953,15492
100,117,13366,5837,3827,9664
117,115,13083,10380,7246,17626
115,116,16318,5633,5939,11572
116,114,19656,6735,14023,20758
114,105,31717,5722,24982,30704
105,97,15692,13599,9970,23569
97,108,16018,7850,2418,10268
108,32,25905,6929,18055,24984
32,121,26362,5134,19433,24567
121,32,23772,8045,18638,26683
32,100,17594,6265,9550,15815
100,101,20468,7751,14203,21954
101,32,21747,7457,13996,21454
32,115,21064,11166,13607,24773
115,105,25375,7465,14209,21674
105,115,14294,11678,6829,18507
115,116,22059,6448,10382,16830
116,101,8147,11181,1699,12880
101,109,29419,9255,18238,27493
109,97,13287,10266,4031,14297
97,115,27492,7045,17226,24271
115,32,27408,7045,20363,27408
100,101,22256,7045,15918,22963
101,98,14213,7334,7168,14502
98,105,26277,9067,18942,28009
105,100,16826,7240,7760,15000
100,111,11666,7557,4426,11983
111,32,26497,7038,18939,25978
32,97,22957,13288,15918,29206
97,32,18935,10365,5647,16012
32,113,15103,14195,4738,18933
113,117,21555,6743,7360,14103
117,101,24068,8352,17326,25677
32,115,37341,11171,29319,40489
115,109,50756,7138,36564,43702
109,101,13204,8746,6066,14811
101,32,11263,6439,2517,8957
112,97,3847,2997,19665,22662
112,97,3847,11654,19665,8657
97,114,29489,6535,17835,24370
114,101,12785,8260,6251,14511
101,99,15227,7633,6967,14600
99,101,22738,3418,15105,18523
101,32,49053,6034,45635,51668
32,115,28595,7447,22561,30008
115,101,21653,9759,14207,23966
101,114,24064,12692,14305,26997
114,32,18427,7351,5735,13086
32,117,49975,5814,42624,48438
117,110,22035,6138,16221,22359
97,32,13691,1515,21855,23370
97,32,13691,7349,21855,5834
32,99,25788,6138,18439,24576
99,97,15423,16904,9285,26190
97,114,29594,5227,12689,17917
114,114,18925,4732,13698,18430
114,101,11895,7038,7163,14201
101,114,20236,5028,13198,18226
114,97,24588,15588,19560,35148
97,32,33119,5948,17531,23479
109,117,29083,4607,20063,24670
121,32,30518,6833,23277,30110
97,109,47207,5131,32230,37361
109,112,24571,5840,19440,25280
112,108,20969,7330,15129,22458
108,105,21530,6038,14201,20238
105,97,14629,13200,8591,21791
97,32,17993,8414,4793,13208
32,101,20861,8446,12447,20893
101,110,21148,6472,12702,19174
110,32,21139,6665,14667,21332
32,108,25077,6038,18412,24450
108,97,22053,12587,16014,28601
97,32,22758,9365,10171,19536
32,113,18636,13588,9272,22860
113,117,21143,7555,7554,15109
117,101,19049,9660,11494,21154
101,32,13074,6950,3414,10364
32,109,22870,6237,15920,22157
109,101,15009,9658,8772,18430
101,32,20234,6143,10576,16719
32,112,34440,5236,28297,33533
112,117,31324,5532,26087,31619
117,101,10269,6241,4737,10978
101,100,22763,10672,16522,27193
100,32,48847,6738,38175,44914
111,32,27604,5827,21058,26885
32,100,19136,8052,13308,21360
100,101,22446,7346,14394,21740
101,115,24776,8659,17430,26089
115,101,23385,7024,14726,21750
101,109,15904,7741,8880,16621
118,111,28703,7264,21953,29217
111,108,48147,10764,40883,51647
108,118,55578,4727,44814,49541
118,101,15618,5322,10891,16213
101,114,21232,11584,15910,27494
114,32,25886,6240,14302,20542
101,110,15284,5535,5750,11285
110,32,19332,7347,13797,21145
32,99,9368,10169,2021,12190
99,117,16716,7449,6547,13996
117,97,17619,13797,10170,23967
97,108,21959,7047,8163,15210
108,113,11918,13758,4872,18630
113,117,25850,5227,12092,17319
